city_name,lat,lon,province,island,timezone,elevation_m,population
"Kota Tasikmalaya",-7.35,108.21667,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kota Banjar",-7.36996,108.53209,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Cilacap",-7.57417,108.98861,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Banyumas",-7.45,109.16667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Purbalingga",-7.28417,109.35028,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Banjarnegara",-7.35111,109.5875,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Kebumen",-7.63917,109.66056,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Purworejo",-7.7,109.96667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Wonosobo",-7.36139,109.92667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Magelang",-7.4275,110.16194,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Boyolali",-7.5,110.7,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Klaten",-7.68333,110.61667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Sukoharjo",-7.68333,110.83333,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Wonogiri",-7.91667,111.0,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Karanganyar",-7.62806,111.0625,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Sragen",-7.41278,110.935,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Grobogan",-7.11667,110.91667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Blora",-7.06667,111.38333,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Rembang",-6.78333,111.46667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Pati",-6.76667,111.1,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Kudus",-6.8,110.86667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Jepara",-6.58333,110.76667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Demak",-6.8993,110.6122,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Semarang",-7.20667,110.44139,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Temanggung",-7.25,110.11667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Kendal",-7.0256,110.1685,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Batang",-7.03333,109.88333,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Pekalongan",-7.0319,109.624,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Pemalang",-7.03333,109.4,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Tegal",-7.03333,109.16667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Brebes",-7.05,108.9,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kota Magelang",-7.5,110.225,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kota Surakarta",-7.55,110.81667,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kota Salatiga",-7.33278,110.48333,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kota Semarang",-7.03333,110.38333,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kota Pekalongan",-6.9,109.68333,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kota Tegal",-6.8686,109.1129,"Jawa Tengah","Jawa","Asia/Jakarta",10,100000
"Kabupaten Kulon Progo",-7.645,110.02694,"Di Yogyakarta","Jawa","Asia/Jakarta",10,100000
"Kabupaten Bantul",-7.9,110.36667,"Di Yogyakarta","Jawa","Asia/Jakarta",10,100000
"Kabupaten Gunung Kidul",-7.98333,110.61667,"Di Yogyakarta","Jawa","Asia/Jakarta",10,100000
"Kabupaten Sleman",-7.68167,110.32333,"Di Yogyakarta","Jawa","Asia/Jakarta",10,100000
"Kota Yogyakarta",-7.8,110.375,"Di Yogyakarta","Jawa","Asia/Jakarta",10,100000
"Kabupaten Pacitan",-8.13333,111.16667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Ponorogo",-7.93333,111.5,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Trenggalek",-8.16667,111.61667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Tulungagung",-8.11667,111.91667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Blitar",-8.13333,112.25,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Kediri",-7.83333,112.16667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Malang",-8.16667,112.66667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Lumajang",-8.11667,113.15,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Jember",-8.25,113.65,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Banyuwangi",-8.33333,114.2,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Bondowoso",-7.9404,113.9834,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Situbondo",-7.71667,114.05,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Probolinggo",-7.86667,113.31667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Pasuruan",-7.73333,112.83333,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Sidoarjo",-7.45,112.7,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Mojokerto",-7.55,112.5,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Jombang",-7.55,112.25,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Nganjuk",-7.6,111.93333,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Madiun",-7.61667,111.65,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Magetan",-7.64472,111.35917,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Ngawi",-7.47444,111.33444,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Bojonegoro",-7.25,111.8,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Tuban",-6.96667,111.9,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Lamongan",-7.13333,112.31667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Gresik",-7.1933,112.553,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Bangkalan",-7.05,112.93333,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Sampang",-7.05,113.25,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Pamekasan",-7.06667,113.5,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kabupaten Sumenep",-7.11667,114.33333,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kota Kediri",-7.83333,112.01667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kota Blitar",-8.1,112.16667,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
"Kota Malang",-7.975,112.63333,"Jawa Timur","Jawa","Asia/Jakarta",10,100000
